animal_id,gs_id
r12083,102911
r12093,102908
r20095,102867
r20096,102905
r20097,102885
r20098,102881
r20099,102906
r20100,102891
r20101,102878
r20102,102904
r20103,102870
r20104,102882
r21001,102879
r21002,102866
r21003,102872
r21004,102892
r21005,102880
r21006,102899
r21007,102875
r21008,102873
r21009,102894
r21010,102893
r21011,102900
r21012,102888
r21013,102901
r21014,102883
r21015,102902
r21016,102871
r21018,102895
r21019,102896
r21020,102887
r21021,102890
r21022,102886
r21023,102869
r21024,102889
r21025,102874
r21026,102868
r21027,102903
r21028,102884
r21029,102877
r21030,102876
r21031,102897
rh2700,102909
rh2701,102910
rh2992,102921
rh2993,102922
rh2995,102923
rh2998,102912
rh3002,102913
rh3025,102920
rh3028,102914
rh3029,102915
rh3030,102916
rh3043,102917
rh3044,102918
rh3052,102919
rhav42,102898
rhbg63,102907
